SlideId;UnitTitle;SlideType
0;Первое знакомство с C#;theory
1;Первое знакомство с C#;theory
2;Первое знакомство с C#;theory
3;Первое знакомство с C#;exercise
4;Первое знакомство с C#;theory
5;Первое знакомство с C#;theory
6;Первое знакомство с C#;exercise
7;Первое знакомство с C#;exercise
8;Первое знакомство с C#;exercise
9;Первое знакомство с C#;theory
10;Первое знакомство с C#;exercise
11;Первое знакомство с C#;theory
12;Первое знакомство с C#;exercise
13;Первое знакомство с C#;theory
14;Первое знакомство с C#;exercise
15;Первое знакомство с C#;exercise
16;Первое знакомство с C#;theory
17;Первое знакомство с C#;quiz
18;Первое знакомство с C#;exercise
19;Ошибки;theory
20;Ошибки;quiz
21;Ошибки;exercise
22;Ошибки;theory
23;Ошибки;exercise
24;Ошибки;theory
25;Ошибки;theory
26;Ошибки;theory
27;Ошибки;theory
28;Ошибки;quiz
29;Ошибки;theory
30;Ошибки;theory
31;Ошибки;quiz
32;Ошибки;exercise
33;Ошибки;theory
34;Ветвления;theory
35;Ветвления;exercise
36;Ветвления;theory
37;Ветвления;exercise
38;Ветвления;exercise
39;Ветвления;theory
40;Ветвления;quiz
41;Ветвления;exercise
42;Ветвления;theory
43;Циклы;theory
44;Циклы;exercise
45;Циклы;theory
46;Циклы;exercise
47;Циклы;theory
48;Циклы;exercise
49;Циклы;theory
50;Циклы;exercise
51;Циклы;theory
52;Массивы;theory
53;Массивы;exercise
54;Массивы;exercise
55;Массивы;exercise
56;Массивы;exercise
57;Массивы;theory
58;Массивы;exercise
59;Массивы;theory
60;Массивы;theory
61;Массивы;exercise
62;Массивы;theory
63;Массивы;theory
64;Массивы;quiz
65;Массивы;exercise
66;Массивы;theory
67;Коллекции, строки, файлы;theory
68;Коллекции, строки, файлы;exercise
69;Коллекции, строки, файлы;theory
70;Коллекции, строки, файлы;exercise
71;Коллекции, строки, файлы;theory
72;Коллекции, строки, файлы;theory
73;Коллекции, строки, файлы;exercise
74;Коллекции, строки, файлы;theory
75;Коллекции, строки, файлы;theory
76;Коллекции, строки, файлы;quiz
77;Коллекции, строки, файлы;theory
78;Коллекции, строки, файлы;theory
79;Коллекции, строки, файлы;quiz
80;Коллекции, строки, файлы;theory
81;Тестирование;theory
82;Тестирование;quiz
83;Тестирование;theory
84;Тестирование;theory
85;Тестирование;theory
86;Тестирование;quiz
87;Тестирование;theory
88;Тестирование;theory
89;Тестирование;theory
90;Тестирование;theory
91;Тестирование;theory
92;Тестирование;quiz
93;Тестирование;theory
94;Сложность алгоритмов;theory
95;Сложность алгоритмов;theory
96;Сложность алгоритмов;quiz
97;Сложность алгоритмов;theory
98;Сложность алгоритмов;quiz
99;Сложность алгоритмов;theory
100;Сложность алгоритмов;theory
101;Сложность алгоритмов;quiz
102;Сложность алгоритмов;theory
103;Сложность алгоритмов;theory
104;Сложность алгоритмов;quiz
105;Сложность алгоритмов;theory
106;Сложность алгоритмов;quiz
107;Сложность алгоритмов;theory
108;Рекурсивные алгоритмы;theory
109;Рекурсивные алгоритмы;exercise
110;Рекурсивные алгоритмы;theory
111;Рекурсивные алгоритмы;theory
112;Рекурсивные алгоритмы;quiz
113;Рекурсивные алгоритмы;theory
114;Рекурсивные алгоритмы;theory
115;Рекурсивные алгоритмы;exercise
116;Рекурсивные алгоритмы;theory
117;Рекурсивные алгоритмы;exercise
118;Рекурсивные алгоритмы;theory
119;Рекурсивные алгоритмы;exercise
120;Рекурсивные алгоритмы;theory
121;Поиск и сортировка;theory
122;Поиск и сортировка;theory
123;Поиск и сортировка;quiz
124;Поиск и сортировка;theory
125;Поиск и сортировка;theory
126;Поиск и сортировка;exercise
127;Поиск и сортировка;theory
128;Поиск и сортировка;exercise
129;Поиск и сортировка;theory
130;Поиск и сортировка;theory
131;Поиск и сортировка;quiz
132;Поиск и сортировка;theory
133;Практикум;theory
134;Основы ООП;theory
135;Основы ООП;exercise
136;Основы ООП;exercise
137;Основы ООП;theory
138;Основы ООП;quiz
139;Основы ООП;theory
140;Основы ООП;quiz
141;Основы ООП;theory
142;Основы ООП;exercise
143;Основы ООП;theory
144;Основы ООП;exercise
145;Основы ООП;theory
146;Основы ООП;exercise
147;Основы ООП;theory
148;Наследование;theory
149;Наследование;theory
150;Наследование;quiz
151;Наследование;theory
152;Наследование;quiz
153;Наследование;theory
154;Наследование;exercise
155;Наследование;exercise
156;Наследование;theory
157;Наследование;exercise
158;Наследование;exercise
159;Наследование;theory
160;Наследование;exercise
161;Наследование;theory
162;Наследование;exercise
163;Наследование;theory
164;Наследование;theory
165;Наследование;exercise
166;Наследование;theory
167;Целостность данных;theory
168;Целостность данных;theory
169;Целостность данных;quiz
170;Целостность данных;theory
171;Целостность данных;theory
172;Целостность данных;exercise
173;Целостность данных;theory
174;Целостность данных;exercise
175;Целостность данных;theory
176;Целостность данных;exercise
177;Целостность данных;theory
178;Целостность данных;exercise
179;Целостность данных;theory
180;Целостность данных;theory
181;Структуры;theory
182;Структуры;theory
183;Структуры;quiz
184;Структуры;theory
185;Структуры;theory
186;Структуры;exercise
187;Структуры;theory
188;Структуры;quiz
189;Структуры;theory
190;Структуры;theory
191;Структуры;theory
